date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/d58bb9d8b850501d81a1571d0c4123f2.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/d58bb9d8b850501d81a1571d0c4123f2.31.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/36a002c24cf5b75592ea1ff433faa364.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/36a002c24cf5b75592ea1ff433faa364.32.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/b94644a146addf0735ba5dddbc081ee5.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/b94644a146addf0735ba5dddbc081ee5.33.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/ebe7dc9c757c3374cfe6f43a9c3a36a4.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/ebe7dc9c757c3374cfe6f43a9c3a36a4.34.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/dd63d446545f69e65495c34725ae31a8.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/dd63d446545f69e65495c34725ae31a8.35.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/b06efbace78ee100a468d49efce3a39b.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/b06efbace78ee100a468d49efce3a39b.36.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/6628202cf9a9ef667956aaf87c0edda0.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/6628202cf9a9ef667956aaf87c0edda0.37.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/2eb1d6746b7f5df4fba98d67601c2814.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/2eb1d6746b7f5df4fba98d67601c2814.38.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/8f3177a8e12a316f7be67e26bd1d4364.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/8f3177a8e12a316f7be67e26bd1d4364.39.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/e5b02e7cbc941c10665af53aaefd13a8.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/e5b02e7cbc941c10665af53aaefd13a8.3a.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/5b9c936020276cfe4ecce1b838b6acf3.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/5b9c936020276cfe4ecce1b838b6acf3.3b.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/3fbd5ec742f7c1db0be2345cc71e51dc.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/3fbd5ec742f7c1db0be2345cc71e51dc.3c.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/536d14f2e3b4dfe9638e16ba2dc14f51.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/536d14f2e3b4dfe9638e16ba2dc14f51.3d.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/382a8718a423f80997b767904f71e527.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/382a8718a423f80997b767904f71e527.3e.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/f35de8ceb4c7be0466509e067b5209a6.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/f35de8ceb4c7be0466509e067b5209a6.3f.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/5c8a0eea53ae23a427b61fdb1a2487b6.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/5c8a0eea53ae23a427b61fdb1a2487b6.40.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
